Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,1117.699951,1139.199951,1097.099976,1133.099976,1133.099976,749
2010-01-08,1138.199951,1161.199951,1121.000000,1142.599976,1142.599976,396
2010-01-15,1132.800049,1139.699951,1090.199951,1102.699951,1102.699951,181
2010-01-22,1089.199951,1097.900024,1073.199951,1083.599976,1083.599976,206863
2010-01-29,1085.000000,1124.900024,1059.000000,1062.400024,1062.400024,119255
2010-02-05,1052.199951,1097.099976,1045.199951,1094.199951,1094.199951,4958
2010-02-12,1089.500000,1127.000000,1079.800049,1118.000000,1118.000000,3699
2010-02-19,1121.300049,1127.400024,1088.699951,1107.800049,1107.800049,2153
2010-02-26,1106.800049,1145.000000,1106.800049,1132.599976,1132.599976,1277
2010-03-05,1134.800049,1134.800049,1106.900024,1108.000000,1108.000000,312
2010-03-12,1101.500000,1131.400024,1099.900024,1127.400024,1127.400024,297
2010-03-19,1107.400024,1107.400024,1085.500000,1092.699951,1092.699951,236
2010-03-26,1104.199951,1127.699951,1101.099976,1125.099976,1125.099976,221229
2010-04-02,1122.300049,1153.000000,1119.900024,1152.199951,1152.199951,7095
2010-04-09,1161.099976,1169.000000,1145.000000,1159.699951,1159.699951,1682
2010-04-16,1136.300049,1160.000000,1124.000000,1142.300049,1142.300049,955
2010-04-23,1153.099976,1171.300049,1148.599976,1168.400024,1168.400024,873
2010-04-30,1180.099976,1210.599976,1159.199951,1196.900024,1196.900024,594
2010-05-07,1210.000000,1246.500000,1189.199951,1228.800049,1228.800049,723
2010-05-14,1227.400024,1235.900024,1179.400024,1187.800049,1187.800049,333
2010-05-21,1175.699951,1218.500000,1175.699951,1211.900024,1211.900024,237994
2010-05-28,1210.400024,1228.199951,1201.000000,1208.300049,1208.300049,129675
2010-06-04,1207.599976,1252.099976,1196.900024,1220.800049,1220.800049,4690
2010-06-11,1228.900024,1251.099976,1217.699951,1247.500000,1247.500000,2527
2010-06-18,1247.699951,1264.800049,1226.900024,1245.500000,1245.500000,887
2010-06-25,1246.699951,1256.900024,1204.500000,1206.300049,1206.300049,1253
2010-07-02,1201.400024,1211.800049,1189.300049,1195.800049,1195.800049,289
2010-07-09,1209.599976,1217.400024,1195.000000,1208.099976,1208.099976,267
2010-07-16,1188.000000,1196.000000,1180.000000,1195.500000,1195.500000,114
2010-07-23,1187.699951,1198.599976,1158.000000,1168.400024,1168.400024,207005
2010-07-30,1168.199951,1203.000000,1166.000000,1197.199951,1197.199951,64020
2010-08-06,1203.300049,1215.500000,1191.000000,1214.800049,1214.800049,2283
2010-08-13,1214.900024,1237.599976,1214.900024,1233.800049,1233.800049,932
2010-08-20,1227.199951,1243.300049,1211.500000,1235.400024,1235.400024,936
2010-08-27,1236.000000,1254.300049,1233.000000,1251.500000,1251.500000,970
2010-09-03,1249.199951,1260.199951,1240.000000,1248.900024,1248.900024,137
2010-09-10,1244.500000,1275.199951,1244.500000,1271.900024,1271.900024,168
2010-09-17,1275.599976,1294.300049,1271.800049,1294.300049,1294.300049,191
2010-09-24,1296.000000,1315.199951,1287.500000,1307.800049,1307.800049,32084
2010-10-01,1309.000000,1363.000000,1309.000000,1333.900024,1333.900024,1239
2010-10-08,1333.500000,1383.900024,1325.000000,1376.699951,1376.699951,783
2010-10-15,1379.199951,1382.400024,1317.500000,1324.699951,1324.699951,771
2010-10-22,1326.699951,1349.099976,1319.000000,1342.099976,1342.099976,710
2010-10-29,1340.199951,1392.500000,1327.500000,1382.699951,1382.699951,458
2010-11-05,1390.699951,1423.199951,1378.199951,1403.099976,1403.099976,443
2010-11-12,1407.900024,1407.900024,1329.500000,1352.900024,1352.900024,371
2010-11-19,1350.699951,1377.800049,1344.500000,1372.900024,1372.900024,46
2010-11-26,1372.099976,1398.599976,1352.599976,1388.500000,1388.500000,249034
2010-12-03,1385.099976,1431.099976,1372.000000,1392.099976,1392.099976,7265
2010-12-10,1388.900024,1407.300049,1362.500000,1370.400024,1370.400024,2267
2010-12-17,1376.400024,1389.500000,1365.900024,1380.000000,1380.000000,626
2010-12-24,1373.500000,1413.800049,1373.500000,1405.599976,1405.599976,1355
2010-12-31,1405.699951,1423.900024,1364.199951,1371.400024,1371.400024,564
2011-01-07,1372.699951,1392.500000,1355.500000,1386.900024,1386.900024,781
2011-01-14,1375.000000,1376.199951,1345.000000,1346.500000,1346.500000,464
2011-01-21,1341.699951,1352.300049,1318.400024,1318.400024,1318.400024,430
2011-01-28,1314.000000,1355.800049,1307.699951,1352.300049,1352.300049,301922
2011-02-04,1354.800049,1367.000000,1343.800049,1361.900024,1361.900024,6142
2011-02-11,1364.000000,1384.699951,1355.199951,1384.699951,1384.699951,1458
2011-02-18,1384.099976,1415.300049,1381.800049,1415.300049,1415.300049,959
2011-02-25,1401.699951,1440.500000,1401.000000,1416.000000,1416.000000,3082
2011-03-04,1418.900024,1445.000000,1403.800049,1412.199951,1412.199951,1213
2011-03-11,1413.699951,1427.699951,1385.500000,1404.000000,1404.000000,162
2011-03-18,1406.400024,1446.900024,1406.400024,1434.800049,1434.800049,180
2011-03-25,1436.000000,1440.000000,1412.000000,1438.900024,1438.900024,182837
2011-04-01,1433.400024,1462.500000,1413.000000,1458.500000,1458.500000,17741
2011-04-08,1457.599976,1476.000000,1444.400024,1471.699951,1471.699951,2556
2011-04-15,1477.599976,1508.300049,1473.199951,1503.199951,1503.199951,2032
2011-04-22,1513.300049,1536.000000,1495.000000,1530.800049,1530.800049,1153
2011-04-29,1538.699951,1576.599976,1471.000000,1480.900024,1480.900024,1267
2011-05-06,1473.199951,1524.099976,1472.300049,1506.599976,1506.599976,364
2011-05-13,1503.500000,1511.300049,1473.000000,1492.199951,1492.199951,160
2011-05-20,1499.000000,1527.500000,1488.699951,1522.800049,1522.800049,150
2011-05-27,1519.400024,1550.599976,1518.400024,1532.000000,1532.000000,272702
2011-06-03,1534.699951,1553.900024,1525.000000,1542.099976,1542.099976,7106
2011-06-10,1543.699951,1543.900024,1511.300049,1529.300049,1529.300049,2725
2011-06-17,1523.000000,1558.500000,1514.699951,1520.099976,1520.099976,682
2011-06-24,1524.699951,1525.000000,1490.699951,1502.300049,1502.300049,1600
2011-07-01,1502.199951,1533.099976,1480.000000,1530.199951,1530.199951,405
2011-07-08,1527.000000,1592.800049,1526.599976,1589.000000,1589.000000,109
2011-07-15,1582.300049,1608.800049,1582.300049,1586.800049,1586.800049,112
2011-07-22,1588.500000,1620.599976,1588.500000,1613.400024,1613.400024,232351
2011-07-29,1617.099976,1681.800049,1607.000000,1656.199951,1656.199951,84377
2011-08-05,1647.500000,1813.500000,1642.699951,1748.800049,1748.800049,7492
2011-08-12,1760.599976,1828.500000,1723.800049,1818.900024,1818.900024,4154
2011-08-19,1823.699951,1909.300049,1707.300049,1759.800049,1759.800049,3752
2011-08-26,1768.500000,1839.599976,1768.500000,1826.000000,1826.000000,2896
2011-09-02,1828.599976,1911.599976,1792.800049,1854.400024,1854.400024,1711
2011-09-09,1858.099976,1881.300049,1775.800049,1778.500000,1778.500000,783
2011-09-16,1768.500000,1819.099976,1730.900024,1739.199951,1739.199951,312
2011-09-23,1737.300049,1737.300049,1562.400024,1615.500000,1615.500000,21577
2011-09-30,1620.800049,1678.099976,1596.599976,1651.900024,1651.900024,7839
2011-10-07,1657.000000,1691.000000,1626.199951,1667.300049,1667.300049,353
2011-10-14,1665.800049,1693.500000,1608.699951,1611.900024,1611.900024,347
2011-10-21,1626.099976,1735.500000,1626.099976,1746.699951,1746.699951,927
2011-10-28,1752.000000,1766.000000,1682.500000,1764.199951,1764.199951,1254
2011-11-04,1757.000000,1798.400024,1754.800049,1758.900024,1758.900024,392
2011-11-11,1777.000000,1789.099976,1714.000000,1719.800049,1719.800049,151
2011-11-18,1725.000000,1736.000000,1674.400024,1695.699951,1695.699951,90
2011-11-25,1690.099976,1753.300049,1675.300049,1735.300049,1735.300049,255836
2011-12-02,1744.800049,1762.900024,1703.000000,1709.800049,1709.800049,4121
2011-12-09,1713.300049,1720.699951,1565.599976,1574.599976,1574.599976,3568
2011-12-16,1587.400024,1635.000000,1586.000000,1608.900024,1608.900024,991
2011-12-23,1612.000000,1612.800049,1525.000000,1539.900024,1539.900024,1476
2011-12-30,1549.400024,1624.099976,1547.900024,1619.400024,1619.400024,1556
2012-01-06,1622.500000,1656.099976,1607.500000,1647.300049,1647.300049,502
2012-01-13,1638.900024,1664.400024,1630.400024,1654.099976,1654.099976,479
2012-01-20,1652.800049,1729.000000,1652.800049,1726.300049,1726.300049,320
2012-01-27,1727.000000,1761.099976,1715.699951,1756.800049,1756.800049,238033
2012-02-03,1758.699951,1761.300049,1713.199951,1739.000000,1739.000000,4558
2012-02-10,1732.699951,1737.000000,1706.400024,1726.800049,1726.800049,675
