Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,2294.409912,2314.070068,2285.219971,2300.050049,2300.050049,8822630000
2010-01-08,2292.239990,2326.280029,2272.699951,2316.739990,2316.739990,11164120000
2010-01-15,2316.979980,2322.540039,2259.820068,2265.699951,2265.699951,9912750000
2010-01-22,2255.760010,2262.270020,2166.899902,2179.000000,2179.000000,12635750000
2010-01-29,2198.260010,2202.840088,2125.429932,2125.429932,2125.429932,12897930000
2010-02-05,2131.919922,2179.540039,2100.169922,2177.409912,2177.409912,11345000000
2010-02-12,2157.689941,2243.500000,2151.989990,2241.709961,2241.709961,8489380000
2010-02-19,2233.330078,2251.679932,2198.729980,2234.219971,2234.219971,10910200000
2010-02-26,2234.439941,2293.320068,2222.229980,2292.310059,2292.310059,12409770000
2010-03-05,2304.010010,2368.459961,2301.100098,2368.459961,2368.459961,12156080000
2010-03-12,2376.070068,2400.090088,2345.989990,2391.280029,2391.280029,10711300000
2010-03-19,2391.199951,2432.250000,2358.000000,2397.409912,2397.409912,13110090000
2010-03-26,2406.729980,2423.429932,2383.770020,2402.580078,2402.580078,11192010000
2010-04-02,2409.479980,2443.500000,2403.879883,2436.810059,2436.810059,9764480000
2010-04-09,2441.310059,2517.820068,2432.929932,2515.689941,2515.689941,13026530000
2010-04-16,2505.379883,2521.020020,2451.719971,2519.070068,2519.070068,12858440000
2010-04-23,2514.850098,2535.280029,2456.629883,2511.919922,2511.919922,13697690000
2010-04-30,2509.989990,2514.370117,2185.750000,2319.639893,2319.639893,15887170000
2010-05-07,2308.709961,2434.290039,2228.060059,2394.360107,2394.360107,14375510000
2010-05-14,2373.879883,2374.909912,2203.500000,2204.010010,2204.010010,13644390000
2010-05-21,2169.580078,2278.370117,2140.530029,2277.679932,2277.679932,13971590000
2010-05-28,2275.189941,2307.469971,2220.889893,2303.030029,2303.030029,8772590000
2010-06-04,2257.050049,2278.580078,2139.459961,2218.709961,2218.709961,11808630000
2010-06-11,2199.399902,2318.270020,2196.909912,2307.159912,2307.159912,9876170000
2010-06-18,2308.939941,2341.110107,2213.500000,2217.419922,2217.419922,9876190000
2010-06-25,2224.729980,2241.639893,2061.139893,2101.360107,2101.360107,13182810000
2010-07-02,2105.500000,2181.300049,2077.709961,2175.399902,2175.399902,8078880000
2010-07-09,2174.199951,2260.330078,2170.760010,2249.080078,2249.080078,9863670000
2010-07-16,2231.709961,2251.419922,2159.949951,2245.889893,2245.889893,10298760000
2010-07-23,2234.340088,2307.600098,2227.500000,2251.689941,2251.689941,10813380000
2010-07-30,2227.290039,2305.070068,2218.610107,2293.060059,2293.060059,9885120000
2010-08-06,2267.419922,2309.429932,2163.070068,2190.270020,2190.270020,9994940000
2010-08-13,2183.090088,2228.899902,2155.659912,2178.949951,2178.949951,8718890000
2010-08-20,2172.260010,2200.520020,2102.260010,2118.689941,2118.689941,9530040000
2010-08-27,2134.159912,2200.010010,2099.290039,2200.010010,2200.010010,9618420000
2010-09-03,2227.959961,2251.979980,2206.620117,2236.199951,2236.199951,7057890000
2010-09-10,2239.080078,2304.949951,2229.120117,2303.250000,2303.250000,9585540000
2010-09-17,2318.419922,2366.760010,2301.820068,2327.080078,2327.080078,10640420000
2010-09-24,2356.260010,2400.060059,2339.500000,2368.620117,2368.620117,10488460000
2010-10-01,2386.820068,2402.419922,2332.459961,2383.669922,2383.669922,9988140000
2010-10-08,2384.760010,2452.540039,2370.530029,2435.379883,2435.379883,9810880000
2010-10-15,2461.699951,2482.139893,2422.139893,2459.669922,2459.669922,10351610000
2010-10-22,2461.600098,2516.199951,2459.429932,2507.370117,2507.370117,9320430000
2010-10-29,2505.989990,2579.620117,2491.459961,2577.340088,2577.340088,10370930000
2010-11-05,2577.629883,2592.939941,2524.120117,2555.520020,2555.520020,10608460000
2010-11-12,2540.469971,2552.239990,2459.790039,2514.399902,2514.399902,10141010000
2010-11-19,2510.790039,2545.409912,2483.159912,2543.120117,2543.120117,7217140000
2010-11-26,2525.909912,2580.590088,2488.610107,2579.350098,2579.350098,8772790000
2010-12-03,2569.020020,2624.840088,2567.879883,2616.669922,2616.669922,9022160000
2010-12-10,2623.280029,2645.790039,2613.149902,2637.310059,2637.310059,9024600000
2010-12-17,2643.350098,2675.260010,2634.560059,2665.600098,2665.600098,8661660000
2010-12-24,2657.090088,2673.020020,2645.379883,2662.979980,2662.979980,4423800000
2010-12-31,2660.580078,2712.350098,2649.040039,2709.889893,2709.889893,9117940000
2011-01-07,2712.750000,2742.429932,2676.360107,2735.290039,2735.290039,9536050000
2011-01-14,2732.479980,2766.169922,2686.590088,2704.290039,2704.290039,8494580000
2011-01-21,2716.919922,2763.639893,2687.969971,2755.280029,2755.280029,9776340000
2011-01-28,2755.280029,2758.510010,2676.870117,2753.879883,2753.879883,10545300000
2011-02-04,2755.850098,2798.909912,2747.860107,2790.449951,2790.449951,9956170000
2011-02-11,2783.159912,2835.199951,2778.209961,2831.580078,2831.580078,10254000000
2011-02-18,2833.350098,2840.510010,2705.540039,2737.899902,2737.899902,8916000000
2011-02-25,2752.159912,2802.320068,2730.719971,2798.739990,2798.739990,10067460000
2011-03-04,2797.639893,2798.070068,2695.080078,2701.020020,2701.020020,10283440000
2011-03-11,2689.649902,2724.610107,2603.500000,2636.050049,2636.050049,10584070000
2011-03-18,2665.540039,2740.389893,2639.760010,2736.419922,2736.419922,9119520000
2011-03-25,2746.340088,2783.979980,2720.189941,2781.070068,2781.070068,8872820000
2011-04-01,2796.669922,2815.550049,2778.870117,2796.139893,2796.139893,9554210000
2011-04-08,2806.290039,2808.560059,2733.679932,2760.219971,2760.219971,8985200000
2011-04-15,2752.870117,2820.770020,2706.500000,2820.159912,2820.159912,9436190000
2011-04-22,2820.280029,2874.590088,2813.199951,2872.530029,2872.530029,7593350000
2011-04-29,2869.739990,2887.750000,2804.820068,2814.719971,2814.719971,11169930000
2011-05-06,2840.709961,2874.610107,2818.649902,2863.040039,2863.040039,10179270000
2011-05-13,2859.699951,2861.510010,2759.290039,2823.310059,2823.310059,9832050000
2011-05-20,2815.959961,2821.439941,2739.850098,2782.919922,2782.919922,9250100000
2011-05-27,2789.020020,2835.340088,2759.169922,2773.310059,2773.310059,8265290000
2011-06-03,2740.489990,2762.560059,2670.020020,2684.870117,2684.870117,9456130000
2011-06-10,2675.100098,2685.649902,2599.860107,2623.699951,2623.699951,9461030000
2011-06-17,2646.290039,2693.229980,2607.739990,2686.750000,2686.750000,9579850000
2011-06-24,2681.100098,2776.560059,2647.459961,2773.520020,2773.520020,9899820000
2011-07-01,2775.080078,2878.939941,2769.060059,2872.659912,2872.659912,6716200000
2011-07-08,2841.290039,2860.020020,2755.899902,2762.669922,2762.669922,9225460000
2011-07-15,2787.330078,2847.409912,2743.790039,2834.429932,2834.429932,9587180000
2011-07-22,2834.459961,2862.719971,2757.850098,2766.250000,2766.250000,9452930000
2011-07-29,2736.669922,2796.239990,2556.379883,2556.389893,2556.389893,12762550000
2011-08-05,2580.300049,2592.040039,2331.649902,2492.679932,2492.679932,18072340000
2011-08-12,2507.010010,2555.199951,2362.969971,2380.429932,2380.429932,10941590000
2011-08-19,2353.320068,2482.899902,2337.280029,2419.629883,2419.629883,10167670000
2011-08-26,2408.790039,2611.580078,2385.270020,2546.040039,2546.040039,9077370000
2011-09-02,2497.280029,2568.449951,2414.310059,2529.139893,2529.139893,7080170000
2011-09-09,2508.120117,2608.949951,2438.399902,2607.070068,2607.070068,10257430000
2011-09-16,2607.120117,2643.370117,2420.229980,2455.669922,2455.669922,11601850000
2011-09-23,2438.629883,2590.939941,2433.580078,2480.760010,2480.760010,10273210000
2011-09-30,2444.770020,2507.439941,2298.889893,2506.820068,2506.820068,12351540000
2011-10-07,2509.610107,2629.489990,2468.600098,2620.239990,2620.239990,8963460000
2011-10-14,2655.229980,2667.850098,2557.169922,2598.620117,2598.620117,9291610000
2011-10-21,2630.300049,2753.370117,2598.739990,2738.629883,2738.629883,10611500000
2011-10-28,2724.030029,2742.270020,2597.159912,2697.969971,2697.969971,9933340000
2011-11-04,2678.159912,2730.389893,2601.790039,2625.149902,2625.149902,9530270000
2011-11-11,2653.530029,2695.870117,2576.219971,2587.989990,2587.989990,8858660000
2011-11-18,2595.020020,2595.840088,2460.080078,2460.080078,2460.080078,7303710000
2011-11-25,2453.030029,2636.080078,2441.479980,2626.199951,2626.199951,8209180000
2011-12-02,2650.800049,2674.530029,2592.550049,2596.379883,2596.379883,8344170000
2011-12-09,2603.179932,2653.459961,2525.879883,2541.010010,2541.010010,8531990000
2011-12-16,2554.620117,2604.520020,2518.010010,2599.449951,2599.449951,9429840000
2011-12-23,2607.429932,2633.340088,2586.850098,2613.739990,2613.739990,3987840000
2011-12-30,2610.229980,2673.560059,2604.600098,2669.860107,2669.860107,6200580000
2012-01-06,2671.169922,2726.429932,2658.830078,2724.699951,2724.699951,8629880000
2012-01-13,2707.409912,2793.350098,2689.580078,2788.330078,2788.330078,7249060000
2012-01-20,2776.040039,2834.300049,2766.340088,2805.280029,2805.280029,9140300000
2012-01-27,2797.659912,2868.229980,2782.439941,2859.679932,2859.679932,9202020000
2012-02-03,2888.949951,2930.679932,2885.169922,2927.229980,2927.229980,9756200000
2012-02-10,2902.000000,2961.379883,2895.100098,2959.850098,2959.850098,9273460000
2012-02-17,2958.219971,2965.050049,2922.959961,2956.979980,2956.979980,7270140000
2012-02-24,2963.129883,3000.110107,2933.300049,2988.969971,2988.969971,9293200000
2012-03-02,2986.080078,2995.969971,2900.280029,2970.419922,2970.419922,8513980000
2012-03-09,2975.090088,3059.810059,2973.649902,3056.370117,3056.370117,7971960000
2012-03-16,3058.489990,3090.080078,3047.689941,3063.320068,3063.320068,8222790000
2012-03-23,3066.370117,3134.169922,3044.669922,3095.360107,3095.360107,8240760000
2012-03-30,3110.969971,3128.250000,3052.580078,3080.500000,3080.500000,8767480000
2012-04-06,3037.280029,3059.260010,2987.000000,3055.550049,3055.550049,6345970000
2012-04-13,3045.080078,3058.719971,2975.870117,3007.560059,3007.560059,8223830000
2012-04-20,3023.729980,3056.770020,2946.040039,3050.610107,3050.610107,8878920000
2012-04-27,3060.340088,3085.399902,3016.199951,3024.300049,3024.300049,8959470000
2012-05-04,3001.149902,3001.479980,2900.060059,2933.639893,2933.639893,9911520000
2012-05-11,2919.350098,2960.379883,2813.689941,2813.689941,2813.689941,9195930000
2012-05-18,2814.429932,2867.340088,2774.449951,2839.379883,2839.379883,10104650000
